# REAL DATA, Pantheon+SH0ES (Brout et al. 2022)
# Fetched from: github.com/PantheonPlusSH0ES/DataRelease (Pantheon+SH0ES.dat)
# To replace or rebuild: see /scripts/fetch/pantheon.md
# Real source: Brout et al. (2022) ApJ 938, 110; doi:10.3847/1538-4357/ac8e04
# Schema: z (zHD, CMB+peculiar-v corrected redshift), mu (MU_SH0ES, mag), sigma (MU_SH0ES_ERR_DIAG, mag)
# Filter: IS_CALIBRATOR==0 & zHD >= 0.005 (1619 of 1701 SNe retained); sorted by z
z,mu,sigma
0.2309,40.296,0.226
0.2313,40.317,0.190
0.2316,40.201,0.227
0.2316,40.087,0.237
0.2321,40.205,0.160
0.2328,39.834,0.181
0.2337,40.186,0.255
0.2338,40.415,0.196
0.2339,40.179,0.292
0.2339,40.139,0.214
0.2347,40.191,0.328
0.2348,40.278,0.168
0.2349,40.158,0.183
0.2352,40.163,0.275
0.2356,40.234,0.214
0.2364,40.380,0.156
0.2366,40.264,0.157
0.2366,40.467,0.193
0.2369,40.119,0.237
0.2369,40.228,0.210
0.2372,40.224,0.204
0.2375,40.736,0.306
0.2379,40.232,0.172
0.2395,39.906,0.208
0.2398,40.130,0.181
0.2402,40.385,0.264
0.2409,40.402,0.167
0.2412,40.329,0.131
0.2415,40.121,0.184
0.2416,40.172,0.262
0.2422,40.564,0.221
0.2428,40.422,0.220
0.2428,40.573,0.259
0.2433,40.252,0.143
0.2435,40.538,0.306
0.2441,40.296,0.243
0.2444,40.206,0.222
0.2446,40.126,0.186
0.2451,40.334,0.210
0.2452,40.496,0.182
0.2455,40.358,0.219
0.2459,40.432,0.167
0.2462,40.347,0.149
0.2465,40.378,0.171
0.2466,40.283,0.215
0.2466,40.391,0.155
0.2471,40.198,0.137
0.2485,40.203,0.177
0.2486,40.491,0.216
0.2486,40.428,0.196
0.2486,40.366,0.262
0.2487,40.326,0.178
0.2490,40.427,0.181
0.2491,40.317,0.167
0.2497,40.673,0.221
0.2498,40.296,0.207
0.2499,40.392,0.164
0.2502,40.596,0.224
0.2502,40.376,0.218
0.2504,40.414,0.180
0.2505,40.569,0.189
0.2506,40.301,0.188
0.2509,40.387,0.203
0.2520,40.470,0.207
0.2526,40.407,0.259
0.2526,40.462,0.166
0.2533,40.369,0.157
0.2536,40.030,0.263
0.2541,40.455,0.168
0.2562,40.646,0.194
0.2562,40.559,0.272
0.2564,40.373,0.207
0.2568,40.502,0.252
0.2573,40.578,0.250
0.2574,40.494,0.194
0.2577,40.609,0.225
0.2581,40.528,0.231
0.2586,40.466,0.209
0.2586,40.510,0.150
0.2590,40.542,0.164
0.2592,40.288,0.179
0.2592,40.425,0.163
0.2595,40.524,0.234
0.2595,40.442,0.170
0.2606,40.503,0.171
0.2609,40.613,0.186
0.2614,40.447,0.208
0.2616,40.418,0.226
0.2617,40.687,0.259
0.2617,40.681,0.233
0.2617,40.392,0.226
0.2618,40.694,0.249
0.2620,40.722,0.217
0.2630,41.264,0.515
0.2632,40.639,0.170
0.2636,40.400,0.177
0.2639,40.559,0.168
0.2640,40.303,0.206
0.2641,40.634,0.381
0.2642,40.507,0.238
0.2646,40.515,0.198
0.2646,40.672,0.256
0.2658,40.609,0.220
0.2658,40.324,0.206
0.2664,40.290,0.265
0.2670,40.546,0.205
0.2679,40.510,0.202
0.2682,40.462,0.232
0.2686,40.579,0.191
0.2686,40.455,0.240
0.2689,40.604,0.217
0.2702,40.636,0.197
0.2702,40.509,0.165
0.2706,40.514,0.209
0.2709,40.489,0.166
0.2714,40.568,0.123
0.2728,40.541,0.173
0.2735,40.472,0.209
0.2746,40.740,0.293
0.2751,40.777,0.239
0.2752,40.529,0.242
0.2758,40.663,0.214
0.2763,40.675,0.180
0.2767,40.850,0.272
0.2778,40.619,0.245
0.2778,40.919,0.178
0.2793,40.704,0.164
0.2799,40.506,0.199
0.2799,40.566,0.153
0.2806,40.666,0.153
0.2813,40.622,0.175
0.2821,40.599,0.167
0.2827,40.744,0.297
0.2834,40.660,0.184
0.2841,40.574,0.154
0.2845,40.543,0.187
0.2845,40.692,0.207
0.2848,41.114,0.351
0.2856,40.705,0.186
0.2859,40.671,0.173
0.2867,40.639,0.218
0.2873,40.569,0.250
0.2876,40.538,0.239
0.2878,40.875,0.227
0.2881,40.708,0.188
0.2884,40.749,0.138
0.2885,40.746,0.165
0.2889,40.943,0.226
0.2890,40.743,0.228
0.2890,40.676,0.168
0.2891,40.702,0.277
0.2895,40.977,0.256
0.2899,40.739,0.271
0.2901,40.730,0.234
0.2904,40.786,0.231
0.2912,40.484,0.219
0.2919,40.761,0.178
0.2920,40.765,0.172
0.2922,40.751,0.484
0.2922,40.423,0.292
0.2925,40.638,0.229
0.2926,40.695,0.225
0.2929,40.746,0.174
0.2930,40.827,0.204
0.2937,40.857,0.205
0.2950,40.762,0.174
0.2958,41.021,0.308
0.2959,40.999,0.166
0.2965,40.994,0.366
0.2969,40.660,0.203
0.2969,40.751,0.211
0.2985,41.270,0.233
0.2985,40.654,0.273
0.2989,40.919,0.255
0.2993,41.011,0.342
0.2994,41.021,0.196
0.2995,40.733,0.186
0.3002,40.984,0.198
0.3003,40.880,0.247
0.3009,41.173,0.295
0.3014,40.858,0.192
0.3015,41.109,0.206
0.3025,40.889,0.225
0.3030,40.820,0.275
0.3035,40.920,0.143
0.3036,41.078,0.198
0.3040,40.719,0.222
0.3041,40.705,0.183
0.3048,41.041,0.243
0.3049,40.902,0.140
0.3053,40.592,0.307
0.3054,40.905,0.134
0.3055,41.004,0.226
0.3058,40.945,0.165
0.3065,40.896,0.202
0.3068,41.160,0.239
0.3069,40.957,0.150
0.3082,41.202,0.140
0.3083,40.953,0.254
0.3088,40.995,0.152
0.3092,41.046,0.251
0.3094,40.976,0.270
0.3095,41.018,0.300
0.3096,40.720,0.257
0.3105,40.620,0.336
0.3106,40.996,0.221
0.3109,41.046,0.183
0.3114,41.012,0.142
0.3118,41.038,0.211
0.3120,40.950,0.160
0.3126,40.956,0.150
0.3127,41.035,0.279
0.3127,40.624,0.206
0.3130,41.020,0.203
0.3130,41.006,0.177
0.3139,41.023,0.214
0.3145,41.125,0.156
0.3151,41.019,0.228
0.3152,40.884,0.220
0.3159,41.203,0.233
0.3159,40.933,0.228
0.3162,41.198,0.274
0.3178,41.074,0.196
0.3180,41.077,0.167
0.3182,41.020,0.153
0.3185,41.334,0.328
0.3190,40.894,0.204
0.3190,41.141,0.178
0.3210,41.231,0.207
0.3210,40.955,0.156
0.3212,41.192,0.293
0.3221,40.727,0.199
0.3222,40.863,0.158
0.3222,40.877,0.139
0.3228,40.932,0.212
0.3245,41.070,0.126
0.3255,41.227,0.193
0.3256,41.263,0.255
0.3258,41.164,0.271
0.3258,41.048,0.142
0.3263,41.050,0.157
0.3280,41.000,0.172
0.3284,41.308,0.308
0.3285,41.351,0.279
0.3285,40.934,0.296
0.3287,41.072,0.150
0.3287,41.100,0.144
0.3287,40.928,0.222
0.3291,41.057,0.165
0.3294,41.411,0.311
0.3295,41.239,0.162
0.3297,41.103,0.115
0.3300,40.844,0.210
0.3305,41.231,0.132
0.3306,41.167,0.214
0.3306,41.169,0.231
0.3309,41.159,0.239
0.3309,40.996,0.212
0.3310,41.010,0.137
0.3315,41.030,0.219
0.3315,41.101,0.166
0.3315,41.233,0.285
0.3319,41.015,0.144
0.3324,40.977,0.159
0.3330,41.330,0.202
0.3335,41.002,0.142
0.3335,41.037,0.176
0.3345,41.120,0.236
0.3350,41.025,0.172
0.3351,41.024,0.178
0.3367,41.037,0.184
0.3375,41.168,0.279
0.3375,41.010,0.237
0.3376,41.148,0.176
0.3378,41.154,0.234
0.3382,41.145,0.211
0.3385,41.113,0.200
0.3390,41.056,0.357
0.3406,41.174,0.192
0.3410,41.059,0.194
0.3411,41.064,0.255
0.3417,41.212,0.321
0.3445,41.308,0.152
0.3445,41.291,0.299
0.3449,41.233,0.172
0.3454,41.203,0.230
0.3460,41.332,0.137
0.3470,41.416,0.370
0.3472,41.117,0.244
0.3488,41.372,0.218
0.3491,41.250,0.159
0.3491,41.282,0.206
0.3493,41.141,0.158
0.3494,41.203,0.169
0.3495,41.005,0.226
0.3495,41.153,0.206
0.3495,41.376,0.171
0.3497,41.487,0.288
0.3502,41.187,0.147
0.3506,41.234,0.163
0.3510,41.253,0.161
0.3515,41.334,0.139
0.3515,41.480,0.210
0.3537,41.366,0.192
0.3552,41.465,0.223
0.3577,41.357,0.292
0.3580,41.354,0.215
0.3584,41.242,0.216
0.3585,41.148,0.289
0.3591,41.153,0.306
0.3591,41.443,0.171
0.3595,41.421,0.154
0.3602,41.187,0.191
0.3603,41.079,0.230
0.3609,41.433,0.198
0.3615,41.116,0.288
0.3628,41.245,0.210
0.3633,41.364,0.215
0.3650,41.463,0.292
0.3662,41.136,0.226
0.3666,41.233,0.156
0.3671,41.209,0.152
0.3679,41.263,0.166
0.3680,41.470,0.158
0.3684,41.548,0.336
0.3686,41.463,0.346
0.3696,41.450,0.244
0.3699,41.218,0.255
0.3702,41.379,0.189
0.3705,41.376,0.163
0.3705,41.383,0.160
0.3706,41.639,0.257
0.3706,41.070,0.136
0.3706,41.273,0.282
0.3710,41.410,0.391
0.3714,41.334,0.168
0.3715,41.384,0.117
0.3715,41.429,0.165
0.3735,41.311,0.133
0.3744,41.472,0.235
0.3768,41.416,0.155
0.3780,41.360,0.223
0.3785,41.427,0.182
0.3799,41.296,0.220
0.3800,41.415,0.164
0.3806,41.461,0.188
0.3809,41.451,0.201
0.3813,41.455,0.204
0.3815,41.678,0.219
0.3819,41.562,0.199
0.3825,41.373,0.265
0.3829,41.368,0.207
0.3840,41.518,0.202
0.3860,41.522,0.152
0.3867,41.379,0.271
0.3874,41.557,0.273
0.3878,41.630,0.284
0.3890,41.383,0.200
0.3895,41.544,0.192
0.3926,41.474,0.237
0.3951,41.468,0.204
0.3971,41.259,0.169
0.3994,41.712,0.288
0.4005,41.492,0.158
0.4022,41.480,0.200
0.4029,41.548,0.290
0.4037,41.616,0.214
0.4046,41.675,0.166
0.4048,41.337,0.202
0.4055,41.781,0.136
0.4065,41.691,0.169
0.4089,41.700,0.240
0.4092,41.740,0.364
0.4093,41.706,0.275
0.4095,41.678,0.172
0.4100,41.684,0.280
0.4112,41.662,0.318
0.4114,41.834,0.243
0.4116,41.813,0.149
0.4127,41.789,0.330
0.4166,41.730,0.149
0.4186,41.617,0.202
0.4194,41.686,0.193
0.4194,41.460,0.223
0.4196,41.866,0.225
0.4197,41.798,0.236
0.4199,41.439,0.294
0.4204,41.834,0.344
0.4209,41.618,0.176
0.4209,41.728,0.250
0.4219,41.534,0.271
0.4225,41.648,0.232
0.4225,41.680,0.275
0.4235,41.596,0.186
0.4236,41.840,0.401
0.4240,41.726,0.134
0.4246,41.748,0.196
0.4257,41.704,0.195
0.4260,41.752,0.175
0.4270,41.813,0.230
0.4270,41.835,0.198
0.4279,42.276,0.239
0.4286,41.883,0.404
0.4289,41.644,0.193
0.4290,41.827,0.251
0.4298,41.922,0.198
0.4302,41.835,0.166
0.4349,41.783,0.184
0.4355,41.584,0.134
0.4368,42.005,0.182
0.4376,41.625,0.166
0.4378,41.882,0.357
0.4389,41.468,0.211
0.4389,41.668,0.280
0.4394,41.826,0.203
0.4401,42.140,0.442
0.4407,41.636,0.160
0.4415,41.682,0.184
0.4425,41.852,0.173
0.4426,41.904,0.140
0.4436,41.793,0.182
0.4439,41.807,0.290
0.4476,41.855,0.224
0.4489,41.885,0.222
0.4489,41.987,0.216
0.4507,41.645,0.158
0.4511,41.928,0.213
0.4516,41.589,0.225
0.4516,41.992,0.155
0.4516,41.716,0.305
0.4522,41.996,0.320
0.4533,41.795,0.208
0.4535,41.886,0.144
0.4546,41.787,0.209
0.4548,41.884,0.284
0.4588,41.968,0.252
0.4606,42.002,0.191
0.4610,42.016,0.230
0.4616,41.984,0.138
0.4664,42.342,0.396
0.4665,42.048,0.136
0.4684,41.973,0.206
0.4689,41.763,0.234
0.4704,42.215,0.405
0.4707,42.014,0.181
0.4716,41.980,0.211
0.4720,42.037,0.257
0.4757,41.938,0.177
0.4779,42.227,0.228
0.4794,41.870,0.204
0.4795,42.011,0.199
0.4799,41.896,0.238
0.4806,42.004,0.160
0.4807,41.975,0.139
0.4816,42.306,0.211
0.4889,42.084,0.200
0.4924,42.278,0.335
0.4950,42.082,0.165
0.4957,42.145,0.121
0.4958,42.082,0.154
0.4974,42.127,0.226
0.5007,42.257,0.254
0.5010,42.117,0.283
0.5028,42.161,0.219
0.5029,42.070,0.313
0.5031,42.148,0.311
0.5032,42.144,0.229
0.5059,42.079,0.167
0.5061,42.104,0.152
0.5072,42.236,0.181
0.5074,42.242,0.289
0.5082,42.019,0.184
0.5102,42.094,0.144
0.5110,42.058,0.239
0.5117,42.389,0.227
0.5139,42.257,0.360
0.5144,42.226,0.196
0.5147,42.326,0.403
0.5173,42.093,0.190
0.5188,42.195,0.250
0.5189,42.182,0.210
0.5194,42.244,0.315
0.5197,42.291,0.196
0.5227,42.350,0.274
0.5240,42.177,0.369
0.5262,42.170,0.223
0.5286,42.086,0.189
0.5294,42.291,0.141
0.5310,41.880,0.234
0.5311,42.511,0.289
0.5312,42.525,0.381
0.5323,41.982,0.222
0.5327,42.247,0.294
0.5337,42.165,0.274
0.5343,42.143,0.225
0.5353,42.321,0.205
0.5357,42.213,0.210
0.5394,42.334,0.244
0.5410,42.279,0.233
0.5415,42.530,0.242
0.5454,42.563,0.191
0.5483,42.023,0.363
0.5488,42.169,0.379
0.5502,42.325,0.196
0.5503,42.373,0.208
0.5505,42.410,0.376
0.5527,42.194,0.244
0.5537,42.490,0.207
0.5538,42.083,0.177
0.5578,42.439,0.195
0.5588,42.297,0.356
0.5588,42.733,0.383
0.5618,42.294,0.228
0.5627,42.602,0.265
0.5628,42.430,0.235
0.5644,42.393,0.221
0.5644,42.397,0.297
0.5644,42.488,0.208
0.5648,42.487,0.193
0.5688,42.241,0.262
0.5754,42.191,0.453
0.5758,42.592,0.213
0.5762,42.489,0.202
0.5767,42.426,0.167
0.5774,42.645,0.291
0.5783,42.417,0.245
0.5783,42.451,0.241
0.5788,42.427,0.214
0.5789,42.532,0.232
0.5797,42.392,0.231
0.5807,42.573,0.262
0.5808,42.706,0.240
0.5830,42.541,0.168
0.5833,42.797,0.186
0.5838,42.477,0.198
0.5838,42.649,0.185
0.5839,42.420,0.199
0.5858,42.707,0.373
0.5873,42.624,0.203
0.5888,42.502,0.220
0.5903,42.516,0.248
0.5918,42.451,0.256
0.6007,42.612,0.279
0.6016,42.756,0.395
0.6033,42.750,0.200
0.6063,42.616,0.275
0.6083,42.590,0.228
0.6088,42.428,0.350
0.6088,42.618,0.231
0.6098,42.688,0.321
0.6107,42.669,0.184
0.6113,42.905,0.248
0.6118,42.701,0.164
0.6158,42.709,0.347
0.6188,42.716,0.389
0.6194,42.695,0.275
0.6198,42.756,0.155
0.6207,42.699,0.268
0.6218,42.589,0.276
0.6252,42.658,0.215
0.6272,42.585,0.244
0.6308,42.663,0.203
0.6318,42.311,0.327
0.6322,42.849,0.324
0.6340,42.597,0.148
0.6378,42.530,0.443
0.6379,42.864,0.311
0.6382,42.659,0.368
0.6387,42.780,0.262
0.6393,42.790,0.172
0.6419,42.848,0.257
0.6431,42.361,0.408
0.6437,42.799,0.310
0.6437,42.803,0.317
0.6477,42.819,0.288
0.6485,43.040,0.272
0.6487,42.733,0.311
0.6496,42.781,0.150
0.6621,42.979,0.280
0.6647,42.870,0.234
0.6707,43.068,0.275
0.6777,43.225,0.312
0.6819,42.838,0.239
0.6837,43.172,0.408
0.6852,43.017,0.366
0.6887,42.814,0.227
0.6894,42.853,0.157
0.6894,43.044,0.272
0.6907,42.914,0.426
0.6932,42.916,0.318
0.6972,42.969,0.213
0.6982,42.967,0.343
0.6992,42.940,0.338
0.6992,43.069,0.215
0.6993,43.111,0.156
0.6999,43.115,0.295
0.7007,42.917,0.223
0.7012,43.097,0.262
0.7019,42.896,0.463
0.7019,43.043,0.253
0.7157,42.994,0.246
0.7187,42.874,0.188
0.7197,43.164,0.205
0.7197,42.970,0.342
0.7201,43.161,0.243
0.7207,43.046,0.305
0.7267,43.081,0.248
0.7277,43.008,0.257
0.7287,43.005,0.283
0.7301,42.919,0.322
0.7316,43.180,0.196
0.7337,42.984,0.196
0.7339,43.220,0.388
0.7349,43.254,0.225
0.7357,43.181,0.257
0.7360,43.167,0.426
0.7368,42.992,0.215
0.7420,43.481,0.325
0.7428,43.083,0.327
0.7457,43.167,0.195
0.7461,42.982,0.255
0.7491,42.940,0.262
0.7493,43.177,0.163
0.7507,42.901,0.319
0.7590,43.247,0.233
0.7608,43.067,0.201
0.7611,43.177,0.237
0.7617,43.131,0.240
0.7657,43.237,0.225
0.7667,43.422,0.250
0.7667,43.362,0.270
0.7671,43.559,0.257
0.7687,43.293,0.312
0.7693,43.217,0.163
0.7731,43.357,0.295
0.7793,43.039,0.311
0.7881,43.304,0.232
0.7891,43.384,0.271
0.7893,43.200,0.166
0.7966,42.903,0.372
0.7986,43.434,0.288
0.8398,43.201,0.390
0.8398,43.360,0.212
0.8548,43.617,0.300
0.9358,43.533,0.240
0.9742,44.111,0.202
1.0124,44.118,0.367
1.0199,44.276,0.226
1.0209,43.971,0.475
1.0279,44.536,0.353
1.0482,44.423,0.489
1.1209,44.441,0.224
1.2323,44.321,0.610
1.2360,44.905,0.274
1.2991,44.864,0.275
1.3041,44.721,0.317
1.3061,45.020,0.445
1.3132,44.787,0.316
1.3291,44.874,0.238
1.3410,44.754,0.306
1.3514,44.549,0.318
1.3561,44.809,0.238
1.3910,44.794,0.374
1.4163,44.458,0.736
1.5429,45.090,0.371
1.5490,45.293,0.234
1.6151,45.160,0.333
1.6971,45.286,0.380
1.8012,45.486,0.282
1.9117,45.423,0.359
2.2614,46.183,0.281
