# REAL DATA, Pantheon+SH0ES (Brout et al. 2022)
# Fetched from: github.com/PantheonPlusSH0ES/DataRelease (Pantheon+SH0ES.dat)
# To replace or rebuild: see /scripts/fetch/pantheon.md
# Real source: Brout et al. (2022) ApJ 938, 110; doi:10.3847/1538-4357/ac8e04
# Schema: z (zHD, CMB+peculiar-v corrected redshift), mu (MU_SH0ES, mag), sigma (MU_SH0ES_ERR_DIAG, mag)
# Filter: IS_CALIBRATOR==0 & zHD >= 0.005 (1619 of 1701 SNe retained); sorted by z
z,mu,sigma
0.0220,34.674,0.248
0.0221,34.748,0.199
0.0221,34.885,0.186
0.0221,35.048,0.289
0.0222,35.014,0.216
0.0223,34.806,0.180
0.0223,34.823,0.258
0.0223,34.925,0.170
0.0223,34.773,0.199
0.0223,34.870,0.204
0.0224,34.781,0.225
0.0224,34.771,0.303
0.0224,34.860,0.243
0.0224,34.759,0.289
0.0224,34.800,0.255
0.0224,35.039,0.215
0.0226,34.731,0.243
0.0227,34.844,0.221
0.0227,34.869,0.203
0.0227,34.685,0.358
0.0230,34.858,0.201
0.0230,35.269,0.305
0.0230,34.971,0.237
0.0230,34.999,0.267
0.0230,34.985,0.191
0.0231,34.767,0.340
0.0231,35.023,0.271
0.0232,34.883,0.275
0.0232,34.917,0.179
0.0232,35.054,0.230
0.0233,34.430,0.279
0.0233,34.648,0.267
0.0234,34.978,0.225
0.0234,34.985,0.283
0.0234,35.008,0.222
0.0234,34.858,0.171
0.0234,34.858,0.260
0.0234,34.833,0.264
0.0235,34.839,0.216
0.0235,35.000,0.218
0.0236,34.572,0.262
0.0236,34.951,0.259
0.0236,35.041,0.207
0.0237,34.954,0.274
0.0237,34.943,0.210
0.0239,34.995,0.181
0.0239,34.889,0.404
0.0239,34.994,0.277
0.0239,34.899,0.190
0.0240,35.102,0.195
0.0241,34.471,0.398
0.0241,35.105,0.310
0.0241,34.878,0.224
0.0242,34.942,0.208
0.0242,35.084,0.184
0.0243,35.180,0.232
0.0243,35.077,0.195
0.0243,34.953,0.198
0.0243,34.987,0.184
0.0243,35.232,0.235
0.0243,35.010,0.202
0.0245,34.949,0.171
0.0245,35.008,0.162
0.0245,35.075,0.210
