# REAL DATA, GW150914 H1 strain (whitened, bandpassed 35-350 Hz)
# Fetched from: gwosc.org (H-H1_LOSC_4_V2-1126259446-32.hdf5)
# To replace or rebuild: see /scripts/fetch/gw150914.md
# Real source: GW150914, Abbott et al. (LIGO 2016) PRL 116, 061102
# Schema: t_s (seconds, merger at 0.42s), strain (whitened H1, rescaled, × 10⁻²¹), strain_model (analytical chirp M_c=30.6 M☉, × 10⁻²¹)
# Pipeline: Welch-PSD whitening; Butterworth bandpass 35-350 Hz; decimate 4096→512 Hz; noise-std matched to 0.15 (231 samples)
t_s,strain,strain_model
0.35352,-0.1013,0.0239
0.35547,0.0278,0.1496
0.35742,0.2064,0.2237
0.35938,0.1730,0.2160
0.36133,0.1516,0.1254
0.36328,0.0330,-0.0170
0.36523,0.0015,-0.1566
0.36719,-0.0736,-0.2357
0.36914,-0.3560,-0.2173
0.37109,-0.2692,-0.1035
0.37305,0.0854,0.0605
0.37500,0.0912,0.2021
0.37695,-0.0158,0.2524
0.37891,-0.1653,0.1801
0.38086,0.1281,0.0131
0.38281,0.4140,-0.1677
0.38477,0.2389,-0.2642
0.38672,0.2113,-0.2141
0.38867,-0.0813,-0.0341
0.39062,-0.3639,0.1763
0.39258,-0.2582,0.2829
0.39453,-0.4136,0.2014
0.39648,-0.1919,-0.0311
0.39844,0.0763,-0.2550
0.40039,0.3346,-0.2863
0.40234,0.3637,-0.0689
0.40430,0.3660,0.2324
0.40625,0.1412,0.3229
0.40820,-0.0066,0.0567
0.41016,-0.4822,-0.3139
0.41211,-0.2406,-0.2840
0.41406,-0.1905,0.2306
0.41602,-0.2103,0.3732
0.41797,-0.0003,-0.4558
0.41992,0.3211,0.9731
0.42188,0.6972,0.9731
0.42383,0.2499,0.9731
0.42578,-0.2830,0.9731
0.42773,-0.6445,0.9731
0.42969,-0.3858,0.9731
0.43164,-0.0447,0.9731
0.43359,0.5457,0.9731
0.43555,0.7584,0.9731
0.43750,-0.2617,0.9731
0.43945,-0.9245,0.9731
0.44141,0.0816,0.9731
0.44336,1.1641,0.9731
0.44531,-0.8727,0.9731
0.44727,-0.0169,0.9731
0.44922,0.3470,0.9731
